0,1,2,3,4,5
PWGTP,SOCP,SCHL_RC1,SCHL,PUMA,STATE
38,N,1,8,23304,53
97,37201X,3,19,23304,53
82,411011,3,19,23304,53
60,151252,5,24,23304,53
69,N,5,22,23304,53
208,132070,4,21,23304,53
34,N,4,20,23304,53
186,151211,4,21,23304,53
117,252030,4,21,23304,53
12,N,2,16,23304,53
11,N,2,16,23304,53
12,1520XX,4,21,23304,53
98,172051,5,22,23304,53
94,N,4,21,23304,53
42,37201X,3,19,23304,53
38,N,2,16,23304,53
46,151255,4,21,23304,53
98,151252,5,22,23304,53
118,151252,5,22,23304,53
34,151252,4,21,23304,53
33,2310XX,5,23,23304,53
38,1940YY,4,21,23304,53
39,171011,5,22,23304,53
136,151244,4,21,23304,53
182,151252,4,21,23304,53
38,N,5,23,23304,53
77,1191XX,5,22,23304,53
64,2310XX,5,23,23304,53
55,N,1,6,23304,53
63,N,1,6,23304,53
9,N,4,21,23304,53
10,151252,5,22,23304,53
16,N,1,14,23304,53
9,N,1,10,23304,53
130,151252,4,21,23304,53
128,151252,4,21,23304,53
67,151252,3,19,23304,53
67,N,3,19,23304,53
103,151252,4,21,23304,53
107,N,4,20,23304,53
49,N,1,14,23304,53
81,172070,4,21,23304,53
81,412031,4,21,23304,53
114,132011,5,22,23304,53
108,132011,4,21,23304,53
191,N,5,22,23304,53
74,352010,3,18,23304,53
86,113031,5,22,23304,53
30,N,4,21,23304,53
29,N,2,16,23304,53
29,411011,4,20,23304,53
